OBJECTID,PLAN_NUM,PLAN_TITLE,REVIEW_DATE,SUBMIT_DATE,MCP_SIGN_DATE,CCPC_SIGN_DATE,PLAN_ACRES,LOTS_UNITS,BLDG_SQ_FT,PRIMARY_USE,PRIMARY_CODE,PRIMARY_UNITS,PRIMARY_NOTES,SCNDARY_USE,SCNDARY_CODE,SCNDARY_UNITS,TERTIARY_USE,TERTIARY_CODE,TERTIARY_UNITS,EG_ID,LAND_DEV_ID,LAND_DEV_YEAR,DESCRIPTION,PROJECT_NUM,PROJECT_NAME,SHAPEAREA,SHAPELEN
1199,LD-3-15-11432,Donald Kauffman Poultry Operation,2015/04/10 00:00:00+00,2015/03/13 00:00:00+00,2015/08/11 00:00:00+00,2015/08/13 00:00:00+00,46.5,2,38150,Commercial, ,2,turkey barn and compost bldg, , ,0, , ,0,1e10809e-0798-4bbc-918b-5e95ed961ff4,PROJ-4001,2015,"2 proposed bldgs, turkey barn and compost bldg. see previous review 10458-2",PROJ-4001,Donald Kauffman Poultry Operation,1997869.99395745,6048.40502764459
1200,LD-3-15-11461,David B. & Lydia B. Miller,2015/04/15 00:00:00+00,2015/03/16 00:00:00+00,2015/12/03 00:00:00+00,2015/12/29 00:00:00+00,10.67,1,,Agricultural,Farm/Pasture Land,1,, , ,0, , ,0,e83177e9-7d6f-4648-950e-c8df174f29c6,PROJ-4010,2015,"proposed barn, greenhouse, and addition to house on existing lot",PROJ-4010,David B. & Lydia B. Miller,435818.911639404,2907.0834048794
1201,LD-3-15-11462,Mayfair,2015/04/06 00:00:00+00,2015/03/16 00:00:00+00,,,32.31,112,,Residential,Townhouse,112,, , ,0, , ,0,d8be2a83-76c3-43cd-ba71-c719ccf59a8a,PROJ-4011,2015,"112 proposed townhouses, roads and parking.",PROJ-4011,Mayfair,1365584.19951741,5382.78149394008
1202,LD-3-15-11469,CJK Investments,2015/04/01 00:00:00+00,2015/03/18 00:00:00+00,,,39.9,180,,Residential,Townhouse,180,, , ,0, , ,0,5b46da7c-3ad4-41ea-84a4-062a964f973a,PROJ-3096,2015,"180 proposed townhouses, roads, and parking",PROJ-3096,Jerry Eller TA E & H Conveyors,1764106.73678874,6281.84158711906
1203,LD-3-15-11497,Fillmore Village - Phase 2,2015/04/01 00:00:00+00,2015/03/17 00:00:00+00,2015/09/08 00:00:00+00,2016/04/12 00:00:00+00,20.58,6,,Residential,Townhouse,6,, , ,0, , ,0,7eea35e9-cfff-4e63-bd61-b00339cc9637,PROJ-2635,2015,"revision to phase 2 plan, proposed is: 6 townhouses (#142-147), a road (Rollins Alley) and 3 parking spaces. see previous review LD-8-12-6519.",PROJ-2635,Fillmore Village and Franklin Commons,896703.686674263,12914.1459273459
1204,LD-3-15-11498,Frank H. III & Angela Tompson Lobb,2015/04/02 00:00:00+00,2015/03/23 00:00:00+00,2015/09/08 00:00:00+00,2015/12/10 00:00:00+00,4.35,1,5760,Commercial, ,1,, , ,0, , ,0,c4beff21-dc5b-40cd-b180-cc6327770e88,SUB-12365,2015,proposed building and demolishing house. see previous review LD-5-13-7964.,SUB-12365,"FRANK H. LOBB, III",170079.313873897,1836.46895860058
1205,LD-3-15-11540,The Proposed Phelps Center,2015/04/13 00:00:00+00,2015/03/25 00:00:00+00,2016/09/12 00:00:00+00,2017/08/18 00:00:00+00,64.98,1,22500,Institutional,School,1,, , ,0, , ,0,d9e0a03a-32a7-46ad-9d2d-508d9143f462,PROJ-4017,2015,"proposed gymnasium, parking, and roadway. see previous review 3018-13. also see SD-3-15-11539.",PROJ-4017,Phelps School,2800897.587486,8140.27769497464
1206,LD-3-15-11542,Devon Elementary School,2015/04/13 00:00:00+00,2015/03/25 00:00:00+00,2016/05/04 00:00:00+00,2016/07/21 00:00:00+00,13.82,1,,Institutional,School,1,, , ,0, , ,0,67e6b455-e67e-4811-932e-4a322e65c58e,SUB-09437,2015,changes to parking. also see SD-3-15-11541.,SUB-09437,DEVON ELEMENTARY SCHOOL,613949.46736364,3912.03934109546
1207,LD-3-16-13387,"Pine View Enterprises, Inc.",2016/03/30 00:00:00+00,2016/02/29 00:00:00+00,,,7.61,2,14600,Commercial, ,2,, , ,0, , ,0,d3290ee8-e93e-47af-b44f-60338fca87af,PROJ-4279,2016,2 proposed buildings and parking. see previous review SD-5-12-6116.,PROJ-4279,"Pine View Enterprises, Inc.",323367.061784977,2267.52078068504
1208,LD-3-16-13392,ACAC Fitness & Wellness Center,2016/03/18 00:00:00+00,2016/03/01 00:00:00+00,,,17.46,1,6000,Commercial,Addition to Existing,1,, , ,0, , ,0,86188fca-6ee2-4258-a7ff-1c5d02601431,PROJ-4282,2016,proposed building addition. see previous review 6506-26.,PROJ-4282,ACAC Fitness & Wellness Center,882280.368612512,4211.10988772791
1209,LD-3-16-13408,East Vincent Township Building,2016/03/23 00:00:00+00,2016/03/03 00:00:00+00,2016/05/20 00:00:00+00,2019/11/19 00:00:00+00,23.55,3,21507,Institutional, ,3,, , ,0, , ,0,5c8598e0-92b4-4e98-866d-39f953e3c19e,PROJ-4283,2016,"2 lots into 1. demolish existing township buildings and construct new police & admin, garage and salt shed. also adding parking.",PROJ-4283,East Vincent Township Building,1009157.74219495,4167.33129598079
1210,LD-3-16-13415,Rushton Conservation Center,2016/03/23 00:00:00+00,2016/03/04 00:00:00+00,2017/10/30 00:00:00+00,2017/11/03 00:00:00+00,85.87,1,2765,Institutional,Unique,1,, , ,0, , ,0,3785272c-caca-4dfb-9323-2dae0d0125c6,PROJ-4285,2016,proposed building and parking. also see SD-3-16-13414.,PROJ-4285,Rushton Conservation Center,3633894.23626437,8217.02382728186
1211,LD-3-16-13446,400 Line Road,2016/03/22 00:00:00+00,2016/03/14 00:00:00+00,2016/08/03 00:00:00+00,2016/08/04 00:00:00+00,5.18,1,13500,Industrial,Warehouse,1,, , ,0, , ,0,61b37396-ec30-4f57-b0c8-24e7d0bf713b,PROJ-4289,2016,proposed distribution facility building,PROJ-4289,400 Line Road,206910.059639546,1821.28014052536
1212,LD-3-16-13479,4 Midland Avenue,2016/04/01 00:00:00+00,2016/03/17 00:00:00+00,,,0.75,16,,Residential,Apartment,16,, , ,0, , ,0,8ecb3633-fefd-4707-b371-c4199048f846,PROJ-4290,2016,Demolish existing building and build 2 multifamily buildings with 8 condos in each building,PROJ-4290,4 Midland Avenue,31335.1006220641,728.184335157053
1213,LD-3-16-13484,Health and Wellness Suites of Exton,2016/04/05 00:00:00+00,2016/03/21 00:00:00+00,2016/05/11 00:00:00+00,2017/03/20 00:00:00+00,5.67,1,80565,Institutional,Nursing Home/Assisted Living,1,, , ,0, , ,0,ee93161c-0323-4bae-b716-ce39cef80b3c,PROJ-4292,2016,"Build 80,565 square foot skilled Nursing Facility.  Refer to SD-3-16-13483 for concurrent lot consolidation plan.",PROJ-4292,Health and Wellness Suites of Exton,265044.098638479,2036.36141245351
1214,LD-3-16-13485,James J. Terry Funeral Home,2016/04/15 00:00:00+00,2016/03/21 00:00:00+00,2016/12/20 00:00:00+00,2016/12/22 00:00:00+00,2.66,1,9359,Commercial,Unique,1,Funeral Home, , ,0, , ,0,6a2f96de-b8de-4276-978b-e4adb5804b73,PROJ-4293,2016,"Build 9,359 SF Funeral Home and parking",PROJ-4293,James J. Terry Funeral Home,97622.8659383708,1263.62471422916
1215,LD-3-16-13488,Reserve at West Goshen,2016/04/01 00:00:00+00,2016/03/21 00:00:00+00,2016/06/29 00:00:00+00,2016/09/21 00:00:00+00,4.07,28,,Residential,Townhouse,28,, , ,0, , ,0,8943a5be-9509-4ac6-9caf-d83219487caa,PROJ-4294,2016,Demolish all existing structures and build 28 townhouse units,PROJ-4294,Reserve at West Goshen,171674.993296329,1998.99692379824
1216,LD-3-16-13527,Marquis at Exton,2016/04/13 00:00:00+00,2016/03/24 00:00:00+00,,,21.5,240,,Residential,Apartment,240,, , ,0, , ,0,ba2fd9e9-c841-4cbf-8f3c-f5d7eb86ef03,PROJ-4297,2016,"construct 6 apartment buildings with 240 units, a clubhouse, parking, and open space.",PROJ-4297,Marquis at Exton,894460.34439037,4033.90502572973
1217,LD-3-16-13540,Atwater Village Commercial,2016/04/11 00:00:00+00,2016/03/29 00:00:00+00,,,22.34,3,20127,Commercial,Retail,1,,Commercial,Restaurant,2, , ,0,35aa7ed9-c427-4512-94a7-faeea43a7dcf,PROJ-4027,2016,"3  proposed buildings, Wawa/gas station and 2 restaurant/retail. second review. see previous review LD-2-16-13281.
",PROJ-4027,Atwater Village Commercial,982427.725656886,5604.96797336607
1218,LD-3-16-13554,DeDominicis Landscaping,2016/04/12 00:00:00+00,2016/03/30 00:00:00+00,,,2.2,2,11250,Commercial, ,2,, , ,0, , ,0,f833cc33-2452-4620-8f78-20f5240c54ad,PROJ-4299,2016,"Construct 11,250 SF commercial building and 6 landscape storage bins",PROJ-4299,DeDominicis Landscaping,91697.4519908023,1435.17778182284
1219,LD-4-10-1641,1004 Saunders Lane,2010/04/28 00:00:00+00,2010/04/02 00:00:00+00,2010/06/09 00:00:00+00,2010/06/17 00:00:00+00,5.65,1,5324,Industrial, ,1,2 connecting storag pole blds. and addition to garage., , ,0, , ,0,c42426d5-cb2e-404b-924a-e587e9dfd847,PROJ-1340,2010,"2 connection storage pole bldgs, 1 garage addition",PROJ-1340,1004 Saunders Lane,216524.973597748,2010.51306303337
1220,LD-4-10-1670,Jennersville Regional Hospital,2010/05/07 00:00:00+00,2010/04/08 00:00:00+00,2010/12/15 00:00:00+00,2010/12/17 00:00:00+00,30.6,2,13631,Institutional,Hospital,2,, , ,0, , ,0,e64c86b5-197b-4abd-963a-483a623e7959,PROJ-1353,2010,"building addition to hospital and parking changes on 2 parcels.
acreage taken from GIS.",PROJ-1353,Jennersville Hospital Addition,792489.818167936,3787.24035210526
1221,LD-4-10-1705,Sadsbury Commons L.P.,2010/05/13 00:00:00+00,2010/04/13 00:00:00+00,2012/05/23 00:00:00+00,2012/05/24 00:00:00+00,4.16,1,40000,Commercial,Medical Building,1,, , ,0, , ,0,b6af95e7-79a0-4934-9fd4-19ce5f7609b8,PROJ-1333,2010,2 story medical office bldg. see previous review 4904-6,PROJ-1333,Sadsbury Commons Town Center,2640864.07316438,7335.3218192896
1222,LD-4-10-1799,Eagleview Lot 52,2010/05/24 00:00:00+00,2010/04/26 00:00:00+00,,,10.63,1,30160,Commercial,Office Building,1,, , ,0, , ,0,8660d814-c3f5-4c20-b84f-15a319104367,PROJ-1361,2010,"1 proposed building and parking
see prior review # 8132-28,29",PROJ-1361,Eagleview Lot 52,457590.310726766,4496.85466040809
1223,LD-4-10-1810,C.C.T.C.H.S. - Parking Expansion,2010/05/21 00:00:00+00,2010/04/22 00:00:00+00,2011/06/01 00:00:00+00,2011/08/22 00:00:00+00,83.26,2,,Institutional,Parking Lot/Garage,2,Pennock's Bridge Campus Parking Expansion, , ,0, , ,0,5761ef99-67de-4da6-bb92-3f1fd7b2608c,PROJ-1100,2010,parking expansion on 2 parcel site,PROJ-1100,Chester County Intermediate Unit,3510783.83920145,9008.63237268637
1224,LD-4-11-3894,Jacob Yasgur,2011/04/27 00:00:00+00,2011/04/01 00:00:00+00,2011/05/16 00:00:00+00,2011/06/21 00:00:00+00,2.47,1,300,Commercial,Addition to Existing,1,Adding deck to barn. Received conditional use approval from township to restore barn for architect or professional office. There is an existing residential dwelling on the property., , ,0, , ,0,993d6eb7-b15c-4672-9d04-39564222dd34,PROJ-2181,2011,Construct new deck and parking. See previous review # 12247.,PROJ-2181,Jacob Yasgur,373792.740524321,2762.31088633535
1225,LD-4-11-3910,Magnolia Place,2011/05/05 00:00:00+00,2011/04/05 00:00:00+00,2013/03/13 00:00:00+00,2013/04/02 00:00:00+00,8.39,34,13200,Residential,Apartment,33,,Commercial,Unique,1, , ,0,9bffd84c-6dbe-4b42-bcb7-88387399a69e,PROJ-2185,2011,"Construct new mixed use building and parking. See previous review # 11085-2. Also see SD-4-11-3909.

Also signed:
1/8/2014
1/9/2014
JK",PROJ-2185,Magnolia Place,308300.887809134,2534.33346899521
1226,LD-4-11-3918,"Building 388 - Phase II, Lot 2",2011/05/11 00:00:00+00,2011/04/11 00:00:00+00,2011/06/13 00:00:00+00,2011/08/26 00:00:00+00,4.55,1,25336,Industrial,Warehouse,1,, , ,0, , ,0,f35aaa01-e532-4a4a-8e06-a9ec51bd431c,PROJ-2184,2011,"Construct warehouse with office space and parking. See previous review # 7953-16.

Noted on plan - parking was counted at 66 spaces.",PROJ-2184,Highlands Corporate Center Phase II Lot 2 Gilberts,197311.93720017,1889.04237020451
1227,LD-4-11-3948,"220 Chestnut Associates, L.P.",2011/05/09 00:00:00+00,2011/04/11 00:00:00+00,2011/07/20 00:00:00+00,2011/08/05 00:00:00+00,1.29,121,1142,Residential,Apartment,120,,Commercial,Unique,1, , ,0,605f67f1-7490-4572-9d9e-a1e8e85de00c,SUB-12154,2011,Construct 120 apartment units with commercial space and 2 parking levels. See previous review # 12154-2. Also see SD-4-11-3947.,SUB-12154,220 EAST CHESTNUT STREET SD,57676.1175973258,1100.81142630091
1228,LD-4-11-3979,Tel Hai Retirement Community Phase 2,2011/05/20 00:00:00+00,2011/04/22 00:00:00+00,2011/08/18 00:00:00+00,2011/08/19 00:00:00+00,133.63,55,,Residential,Townhouse,55,, , ,0, , ,0,30bef046-302c-426b-8043-ddefdf8eadbc,PROJ-1771,2011,"Construct 55 residential cottage units, pump station and parking.",PROJ-1771,Tel Hai Phase 2-5,5729015.4814694,17197.9587775115
1229,LD-4-11-4026,26 Main Avenue LLC,2011/05/12 00:00:00+00,2011/04/12 00:00:00+00,,,0.29,4,,Residential,Townhouse,4,2 twin units, , ,0, , ,0,9aaf808f-6d1c-4282-904a-7c8713a3f965,PROJ-2211,2011,Remove existing dwelling and accessory structure and replace with 2 twin units and parking.,PROJ-2211,26 Main Avenue LLC,12457.4902296659,481.615594958624
1230,LD-4-12-5798,Baptist Church of the Great Valley,2012/04/20 00:00:00+00,2012/03/28 00:00:00+00,,,14.3,1,3416,Institutional,Addition to Existing,1,, ,Religious Organization,0, , ,0,01e0f7ab-0135-49a4-a2f5-4c68b97f88fc,PROJ-2747,2012,2 building additions to 1 building (church),PROJ-2747,Baptist Church of the Great Valley,611470.582133368,3651.00913512125
1231,LD-4-12-5802,Valley Township Dental Office,2012/04/27 00:00:00+00,2012/03/30 00:00:00+00,2012/11/20 00:00:00+00,2013/02/25 00:00:00+00,1.21,1,,Commercial,Medical Building,1,Dental Office, , ,0, , ,0,9d4a4f58-1d03-46a7-8e46-b4c93aeb64bd,PROJ-2748,2012,convert existing house to dental office and add parking,PROJ-2748,Valley Township Dental Office,53827.0714312009,936.060173303623
1232,LD-4-12-5815,Linda Pierce,2012/04/18 00:00:00+00,2012/03/29 00:00:00+00,2012/12/10 00:00:00+00,2012/12/13 00:00:00+00,2.49,1,,Industrial, ,1,, , ,0, , ,0,1f62146b-526d-416f-854f-bec6198f291f,SUB-12020,2012,"proposed parking

see also SD-4-12-5814",SUB-12020,LINDA S. PIERCE,98860.4779958119,1325.8341427168
1233,LD-4-12-5826,Atwater Phase B - Lot 14,2012/05/01 00:00:00+00,2012/04/05 00:00:00+00,2012/06/13 00:00:00+00,2012/06/19 00:00:00+00,24.84,2,314084,Commercial,Office Building,2,, , ,0, , ,0,a4925804-c080-4378-aa5c-56717b343a32,PROJ-2488,2012,"construct 2 office buildings (with connector) and parking.

see previous reviews LD-9-11-4883 and SD-9-11-4882.",PROJ-2488,Lot 14 Atwater Phase B,1059215.27607705,4197.80534083626
1234,LD-4-12-5833,Immaculata University,2012/05/01 00:00:00+00,2012/04/05 00:00:00+00,2012/06/13 00:00:00+00,2012/09/20 00:00:00+00,150.8,1,38896,Institutional,Addition to Existing,1,, ,School,0, , ,0,f0c48074-5cdc-4a58-abbb-651f38cd2603,PROJ-2754,2012,"2 proposed additions to 1 building & parking.

see previous review LD-8-10-2582.",PROJ-2754,Immaculata University Camilla Hall,6591426.02529029,15157.6402989927
1235,LD-4-12-5840,Warwick County Park - Phase 1,2012/05/04 00:00:00+00,2012/04/06 00:00:00+00,2012/07/11 00:00:00+00,2012/07/31 00:00:00+00,199.3,1,1800,Institutional,Park,1,, , ,0, , ,0,90cdac19-8dae-4725-932a-2e0fdb4098e1,PROJ-2760,2012,"construct park office, pavilion and parking",PROJ-2760,Warwick County Park ,8630365.26991296,16321.311803642
1236,LD-4-12-5887,Eagleview Lot # 5,2012/05/16 00:00:00+00,2012/04/18 00:00:00+00,2013/05/13 00:00:00+00,2012/07/16 00:00:00+00,23.45,1,71400,Commercial,Office Building,1,, , ,0, , ,0,80cabdc7-b893-481d-baa2-7d9b3eedc2e5,PROJ-2775,2012,"proposed office building, parking, rain gardens and vacating the road right-of-way. 

see previous reviews 8132-23-B and 7364-32",PROJ-2775,Eagleview Lot 5,1007326.57690477,5966.17975881624
1237,LD-4-12-5891,"Wawa, Inc. Proposed Diesel Fuel Mod",2012/05/11 00:00:00+00,2012/04/18 00:00:00+00,2012/07/16 00:00:00+00,2012/08/21 00:00:00+00,4.1,1,,Commercial,Convenience Store,1,Wawa, , ,0, , ,0,b321a29f-64fa-46f9-9cb6-0a47ae217091,SUB-10510,2012,"Full plan title: Wawa, Inc. Proposed Diesel Fuel Modifications

changes to fuel pumps and signs",SUB-10510,WAWA,175535.476533994,1671.87871823124
1238,LD-4-12-5893,Mars Drinks,2012/05/11 00:00:00+00,2012/04/20 00:00:00+00,2013/08/20 00:00:00+00,2013/09/11 00:00:00+00,29.3,1,,Industrial, ,1,, , ,0, , ,0,1822eaa8-5b1a-4f0b-8b91-7d79aee5243a,PROJ-2777,2012,changing paving and parking to reduce impervious coverage,PROJ-2777,Mars Drinks,1253227.88873421,5351.28116135559
1239,LD-4-12-5898,PNC Bank & Rite Aid,2012/05/17 00:00:00+00,2012/04/20 00:00:00+00,,,2.38,2,15201,Commercial,Bank,1,PNC Bank,Commercial,Retail,1, , ,0,d714ad1d-5b5a-4618-849d-06892d9a6754,PROJ-2780,2012,redevelop 2 lots with proposed Rite Aid and PNC Bank. change parking also.,PROJ-2780,Rite Aid Pharmacy & PNC Bank,114755.571780925,1628.83574137513
1240,LD-4-12-5903,"Environmental Standards, Inc.",2012/05/21 00:00:00+00,2012/04/23 00:00:00+00,2012/09/11 00:00:00+00,2012/09/12 00:00:00+00,5.09,1,19600,Commercial,Addition to Existing,1,, , ,0, , ,0,e56a03a1-0779-4f97-81a1-aacb43290b02,SUB-04854,2012,"2 proposed building additions in 2 phases. parking in 2 phases also.

see previous review 4854-6.",SUB-04854,"ENVIRONMENTAL STANDARDS, INC. SD",232159.287262634,2459.9787517827
1241,LD-4-12-5909,West Goshen Shopping Center,2012/05/15 00:00:00+00,2012/04/24 00:00:00+00,2012/07/11 00:00:00+00,2012/08/02 00:00:00+00,33.47,1,46000,Commercial, ,1,proposed health club and spa, , ,0, , ,0,72a78894-edff-4690-b767-3a55802d6380,PROJ-2783,2012,"demolish 41,200 square feet of shopping center, including the Chester County Bookstore, and replace with a health club and spa.

see previous review 8690-9.",PROJ-2783,West Goshen Shopping Center,1402458.68016528,5245.39181291045
1242,LD-4-13-7724,Lincoln Court Shopping Center,2013/05/01 00:00:00+00,2013/04/05 00:00:00+00,2014/09/10 00:00:00+00,2016/12/13 00:00:00+00,23.2,8,16000,Commercial,Addition to Existing,8,, ,Retail,0, , ,0,f65f972b-8769-4e8a-bf66-e51a66922d27,SUB-06249,2013,"demolish building and construct a building addition for 8 stores and parking. see previous review 6249-4 (July 2003-parking lot expansion, no record of approval)",SUB-06249,LINCOLN COURT SHOPPING CENTER PHASE II LD,1007997.21406823,4793.58773866153
1243,LD-4-13-7763,Kindergarten Center Modulars,2013/04/23 00:00:00+00,2013/04/10 00:00:00+00,2013/07/18 00:00:00+00,2013/07/18 00:00:00+00,7.4,1,8320,Institutional,School,1,, , ,0, , ,0,9b79afff-86d5-4be2-af2a-ac2970bc9340,SUB-12546,2013,"Proposed kindergarten modular classrooms

See previous review 12546",SUB-12546,PHOENIXVILLE KINDERGARTEN L/D,322749.827678993,2335.19293520307
1244,LD-4-13-7769,Amos L. Petersheim,2013/05/15 00:00:00+00,2013/04/15 00:00:00+00,2013/05/20 00:00:00+00,2013/06/19 00:00:00+00,3.23,1,3990,Commercial,Addition to Existing,1,, , ,0, , ,0,6a536c57-2028-456d-b920-d1d1f5b8dbd2,SUB-12488,2013,proposed greenhouse/sales building and parking. see previous review SD-10-10-3015.,SUB-12488,AMOS L PETERSHEIM,131663.334591711,1558.66660957787
1245,LD-4-13-7773,"220 Chestnut Associates, LP",2013/05/08 00:00:00+00,2013/04/11 00:00:00+00,2013/05/14 00:00:00+00,2013/12/11 00:00:00+00,2.21,208,4675,Residential,Apartment,206,,Commercial,Retail,2, , ,0,37232d32-bcab-4624-a255-c939b6c11b94,PROJ-2334,2013,"Proposed apartment building and retail space. also see SD-4-13-7772.

See previous review LD-6-12-6298.
",PROJ-2334,220 East Chestnut Street Apartments,96547.4064806933,1557.73296083642
